path,kind,reachability,status,evidence,required_action,delete_policy
bot/tracked_signals.py,runtime,runtime,ok,reachable from main.py / bot.cli.run() import graph,none,keep
bot/tracking.py,runtime,runtime,ok,reachable from main.py / bot.cli.run() import graph,none,keep
bot/universe.py,runtime,runtime,ok,reachable from main.py / bot.cli.run() import graph,none,keep
bot/ws_manager.py,runtime,runtime,ok,reachable from main.py / bot.cli.run() import graph,none,keep
config.toml,config,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py",none,keep
lastplan.md,doc,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py",none,keep
PRD_v7.0_Futures_Signal_Bot_Final_Codex.md,doc,none,doc-drift,"no static path from runtime roots, tests/, or scripts/live_*.py; Historical PRD still describes a multi-process/shared-memory runtime that is not the live code path.",Keep only as historical context; do not treat it as launch or architecture truth.,keep
pyproject.toml,config,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py",none,keep
requirements-frozen.txt,config,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py",none,keep
requirements-modern.txt,config,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py",none,keep
requirements-optional.txt,config,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py","install alongside requirements.txt when dashboard, ML, or self-learning are enabled",keep
requirements.txt,config,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py",none,keep
scripts/generate_audit_artifacts.py,script,none,ok,"no static path from runtime roots, tests/, or scripts/live_*.py",none,keep
scripts/live_check_binance_api.py,script,scripts,ok,reachable from scripts/live_*.py import graph,none,keep
scripts/live_check_indicators.py,script,scripts,ok,reachable from scripts/live_*.py import graph,none,keep
scripts/live_check_strategies.py,script,scripts,ok,reachable from scripts/live_*.py import graph,none,keep
scripts/live_smoke_bot.py,script,scripts,ok,reachable from scripts/live_*.py import graph,none,keep
tests/test_remediation_regressions.py,test,tests,ok,reachable from tests/ import graph,none,keep
